Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
1	1	10	8	2	1	1	0	0	0	0	0	10-8-2-1-0-0-0-0-0	2403.6661	0.0028	05LoUlBe
4	4	10	5	6	1	0	0	2	0	0	0	10-5-6-0-0-2-0-0-0	2407.84675	0.0028	05LoUlBe
3	3	10	5	5	1	0	0	2	0	0	0	10-5-5-0-0-2-0-0-0	2407.84675	0.0028	05LoUlBe
2	4	10	9	2	3	0	0	1	1	0	0	10-9-2-0-0-1-1-0-0	2421.11269	0.0028	05LoUlBe
1	3	10	9	1	3	0	0	1	1	0	0	10-9-1-0-0-1-1-0-0	2421.11269	0.0028	05LoUlBe
4	4	10	9	2	1	0	0	0	0	0	2	10-9-2-0-0-0-0-0-2	2434.57714	0.0028	05LoUlBe
3	3	10	9	1	1	0	0	0	0	0	2	10-9-1-0-0-0-0-0-2	2434.57714	0.0028	05LoUlBe
2	2	10	6	5	1	0	0	2	0	0	0	10-6-5-0-0-2-0-0-0	2445.9964	0.0028	05LoUlBe
1	1	10	6	4	1	0	0	2	0	0	0	10-6-4-0-0-2-0-0-0	2445.9964	0.0028	05LoUlBe
3	2	10	8	3	4	0	0	1	0	0	1	10-8-3-0-0-1-0-0-1	2446.34714	0.0028	05LoUlBe
4	1	10	8	2	4	0	0	1	0	0	1	10-8-2-0-0-1-0-0-1	2446.34714	0.0028	05LoUlBe
1	4	10	7	4	4	0	0	0	0	1	0	10-7-4-0-0-0-0-1-0	2454.1942	0.0028	05LoUlBe
2	3	10	7	3	4	0	0	0	0	1	0	10-7-3-0-0-0-0-1-0	2454.1942	0.0028	05LoUlBe
4	4	10	9	2	1	1	0	0	0	0	0	10-9-2-1-0-0-0-0-0	2466.2787	0.0028	05LoUlBe
3	3	10	9	1	1	1	0	0	0	0	0	10-9-1-1-0-0-0-0-0	2466.2787	0.0028	05LoUlBe
4	2	10	10	1	3	0	0	1	1	0	0	10-10-1-0-0-1-1-0-0	2487.41069	0.0028	05LoUlBe
3	1	10	10	0	3	0	0	1	1	0	0	10-10-0-0-0-1-1-0-0	2487.41069	0.0028	05LoUlBe
4	4	10	7	4	1	0	0	2	0	0	0	10-7-4-0-0-2-0-0-0	2495.50152	0.0028	05LoUlBe
3	3	10	7	3	1	0	0	2	0	0	0	10-7-3-0-0-2-0-0-0	2495.50152	0.0028	05LoUlBe
1	4	10	9	2	4	0	0	1	0	0	1	10-9-2-0-0-1-0-0-1	2508.90538	0.0028	05LoUlBe
2	3	10	9	1	4	0	0	1	0	0	1	10-9-1-0-0-1-0-0-1	2508.90538	0.0028	05LoUlBe
3	2	10	8	3	4	0	0	0	0	1	0	10-8-3-0-0-0-0-1-0	2509.61212	0.0028	05LoUlBe
4	1	10	8	2	4	0	0	0	0	1	0	10-8-2-0-0-0-0-1-0	2509.61212	0.0028	05LoUlBe
2	2	10	10	1	1	0	0	0	0	0	2	10-10-1-0-0-0-0-0-2	2517.88823	0.0028	05LoUlBe
1	1	10	10	0	1	0	0	0	0	0	2	10-10-0-0-0-0-0-0-2	2517.88823	0.0028	05LoUlBe
2	2	10	10	1	1	1	0	0	0	0	0	10-10-1-1-0-0-0-0-0	2536.42067	0.0028	05LoUlBe
1	1	10	10	0	1	1	0	0	0	0	0	10-10-0-1-0-0-0-0-0	2536.42067	0.0028	05LoUlBe
2	2	10	8	3	1	0	0	2	0	0	0	10-8-3-0-0-2-0-0-0	2552.16146	0.0028	05LoUlBe
1	1	10	8	2	1	0	0	2	0	0	0	10-8-2-0-0-2-0-0-0	2552.16146	0.0028	05LoUlBe
1	4	10	9	2	4	0	0	0	0	1	0	10-9-2-0-0-0-0-1-0	2572.74041	0.0028	05LoUlBe
2	3	10	9	1	4	0	0	0	0	1	0	10-9-1-0-0-0-0-1-0	2572.74041	0.0028	05LoUlBe
3	2	10	10	1	4	0	0	1	0	0	1	10-10-1-0-0-1-0-0-1	2585.75438	0.0028	05LoUlBe
4	1	10	10	0	4	0	0	1	0	0	1	10-10-0-0-0-1-0-0-1	2585.75438	0.0028	05LoUlBe
4	4	10	9	2	1	0	0	2	0	0	0	10-9-2-0-0-2-0-0-0	2616.10522	0.0028	05LoUlBe
3	3	10	9	1	1	0	0	2	0	0	0	10-9-1-0-0-2-0-0-0	2616.10522	0.0028	05LoUlBe
3	2	10	10	1	4	0	0	0	0	1	0	10-10-1-0-0-0-0-1-0	2643.32541	0.0028	05LoUlBe
4	1	10	10	0	4	0	0	0	0	1	0	10-10-0-0-0-0-0-1-0	2643.32541	0.0028	05LoUlBe
2	2	11	0	11	1	0	0	0	0	0	0	11-0-11-0-0-0-0-0-0	124.042013202	3.3759E-05	Marvel
3	3	11	1	11	1	0	0	0	0	0	0	11-1-11-0-0-0-0-0-0	124.607925174	2.2413E-05	Marvel
4	4	11	1	10	1	0	0	0	0	0	0	11-1-10-0-0-0-0-0-0	137.426024695	2.2078E-05	Marvel
1	1	11	2	10	1	0	0	0	0	0	0	11-2-10-0-0-0-0-0-0	142.82513427	3.8423E-05	Marvel
2	2	11	2	9	1	0	0	0	0	0	0	11-2-9-0-0-0-0-0-0	147.445277583	3.4091E-05	Marvel
3	3	11	3	9	1	0	0	0	0	0	0	11-3-9-0-0-0-0-0-0	162.954772033	2.3447E-05	Marvel
4	4	11	3	8	1	0	0	0	0	0	0	11-3-8-0-0-0-0-0-0	163.543549034	2.1413E-05	Marvel
1	1	11	4	8	1	0	0	0	0	0	0	11-4-8-0-0-0-0-0-0	189.070048382	3.309E-05	Marvel
2	2	11	4	7	1	0	0	0	0	0	0	11-4-7-0-0-0-0-0-0	189.097808119	3.7422E-05	Marvel
3	3	11	5	7	1	0	0	0	0	0	0	11-5-7-0-0-0-0-0-0	222.591080532	2.4112E-05	Marvel
4	4	11	5	6	1	0	0	0	0	0	0	11-5-6-0-0-0-0-0-0	222.591741468	2.4079E-05	Marvel
1	1	11	6	6	1	0	0	0	0	0	0	11-6-6-0-0-0-0-0-0	263.619073572	0.000198425	Marvel
2	2	11	6	5	1	0	0	0	0	0	0	11-6-5-0-0-0-0-0-0	263.619140964	0.000202757	Marvel
3	3	11	7	5	1	0	0	0	0	0	0	11-7-5-0-0-0-0-0-0	312.107254888	0.000189447	Marvel
4	4	11	7	4	1	0	0	0	0	0	0	11-7-4-0-0-0-0-0-0	312.107413626	0.000189413	Marvel
1	1	11	8	4	1	0	0	0	0	0	0	11-8-4-0-0-0-0-0-0	368.017625554	0.00036709	Marvel
2	2	11	8	3	1	0	0	0	0	0	0	11-8-3-0-0-0-0-0-0	368.017801378	0.000359716	Marvel
3	3	11	9	3	1	0	0	0	0	0	0	11-9-3-0-0-0-0-0-0	431.31736873	0.000360114	Marvel
4	4	11	9	2	1	0	0	0	0	0	0	11-9-2-0-0-0-0-0-0	431.317430651	0.000356749	Marvel
1	1	11	10	2	1	0	0	0	0	0	0	11-10-2-0-0-0-0-0-0	501.973150527	0.001253385	Marvel
2	2	11	10	1	1	0	0	0	0	0	0	11-10-1-0-0-0-0-0-0	501.973173954	0.000525051	Marvel
3	3	11	11	1	1	0	0	0	0	0	0	11-11-1-0-0-0-0-0-0	579.951062557	0.000528779	Marvel
4	4	11	11	0	1	0	0	0	0	0	0	11-11-0-0-0-0-0-0-0	579.951157341	0.000522083	Marvel
1	4	11	3	8	4	0	0	0	0	0	1	11-3-8-0-0-0-0-0-1	1156.356758382	0.00016649	Marvel
2	2	11	0	11	1	0	1	0	0	0	0	11-0-11-0-1-0-0-0-0	1824.82198358	0.000195425	Marvel
3	3	11	1	11	1	0	1	0	0	0	0	11-1-11-0-1-0-0-0-0	1825.396485528	0.000424079	Marvel
4	4	11	1	10	1	0	1	0	0	0	0	11-1-10-0-1-0-0-0-0	1838.153739408	0.000185745	Marvel
1	1	11	2	10	1	0	1	0	0	0	0	11-2-10-0-1-0-0-0-0	1843.600029282	0.000197091	Marvel
2	2	11	2	9	1	0	1	0	0	0	0	11-2-9-0-1-0-0-0-0	1848.172577275	0.000434758	Marvel
3	3	11	3	9	1	0	1	0	0	0	0	11-3-9-0-1-0-0-0-0	1863.753302155	0.000425113	Marvel
4	4	11	3	8	1	0	1	0	0	0	0	11-3-8-0-1-0-0-0-0	1864.330828842	0.000183078	Marvel
1	1	11	4	8	1	0	1	0	0	0	0	11-4-8-0-1-0-0-0-0	1889.924123348	0.000437422	Marvel
2	2	11	4	7	1	0	1	0	0	0	0	11-4-7-0-1-0-0-0-0	1889.951077269	0.000430424	Marvel
3	3	11	5	7	1	0	1	0	0	0	0	11-5-7-0-1-0-0-0-0	1923.519106023	0.000422447	Marvel
4	4	11	5	6	1	0	1	0	0	0	0	11-5-6-0-1-0-0-0-0	1923.519360296	0.000422413	Marvel
1	1	11	6	6	1	0	1	0	0	0	0	11-6-6-0-1-0-0-0-0	1964.63616196	0.000374093	Marvel
2	2	11	6	5	1	0	1	0	0	0	0	11-6-5-0-1-0-0-0-0	1964.636210046	0.0003841	Marvel
2	2	11	0	11	1	0	0	0	2	0	0	11-0-11-0-0-0-2-0-0	1991.085204809	0.000434758	Marvel
3	3	11	1	11	1	0	0	0	2	0	0	11-1-11-0-0-0-2-0-0	1991.533141607	0.000422078	Marvel
4	4	11	1	10	1	0	0	0	2	0	0	11-1-10-0-0-0-2-0-0	2002.4041529	0.000420412	Marvel
1	1	11	2	10	1	0	0	0	2	0	0	11-2-10-0-0-0-2-0-0	2006.778610568	0.000437091	Marvel
2	2	11	2	9	1	0	0	0	2	0	0	11-2-9-0-0-0-2-0-0	2010.82706	0.0026	05LoUlBe
3	3	11	7	5	1	0	1	0	0	0	0	11-7-5-0-1-0-0-0-0	2013.229032242	0.000521112	Marvel
4	4	11	7	4	1	0	1	0	0	0	0	11-7-4-0-1-0-0-0-0	2013.229330886	0.000521079	Marvel
3	3	11	3	9	1	0	0	0	2	0	0	11-3-9-0-0-0-2-0-0	2023.63754	0.0026	05LoUlBe
4	4	11	3	8	1	0	0	0	2	0	0	11-3-8-0-0-0-2-0-0	2024.18402854	0.000420412	Marvel
1	1	11	4	8	1	0	0	0	2	0	0	11-4-8-0-0-0-2-0-0	2045.55221	0.0026	05LoUlBe
2	2	11	4	7	1	0	0	0	2	0	0	11-4-7-0-0-0-2-0-0	2045.58264	0.0026	05LoUlBe
1	2	11	0	11	2	0	0	0	1	0	1	11-0-11-0-0-0-1-0-1	2053.18248	0.0026	05LoUlBe
4	3	11	1	11	2	0	0	0	1	0	1	11-1-11-0-0-0-1-0-1	2053.60719	0.0026	05LoUlBe
3	4	11	1	10	2	0	0	0	1	0	1	11-1-10-0-0-0-1-0-1	2065.02914	0.0026	05LoUlBe
2	2	11	8	3	1	0	1	0	0	0	0	11-8-3-0-1-0-0-0-0	2069.259975446	0.00076709	Marvel
1	1	11	8	4	1	0	1	0	0	0	0	11-8-4-0-1-0-0-0-0	2069.259996862	0.000759716	Marvel
2	1	11	2	10	2	0	0	0	1	0	1	11-2-10-0-0-0-1-0-1	2069.50537	0.0026	05LoUlBe
4	4	11	5	6	1	0	0	0	2	0	0	11-5-6-0-0-0-2-0-0	2073.88775	0.0026	05LoUlBe
3	3	11	5	7	1	0	0	0	2	0	0	11-5-7-0-0-0-2-0-0	2073.89166	0.0026	05LoUlBe
1	2	11	2	9	2	0	0	0	1	0	1	11-2-9-0-0-0-1-0-1	2074.065	0.0026	05LoUlBe
4	3	11	3	9	2	0	0	0	1	0	1	11-3-9-0-0-0-1-0-1	2087.74364	0.0026	05LoUlBe
3	4	11	3	8	2	0	0	0	1	0	1	11-3-8-0-0-0-1-0-1	2088.35942	0.0026	05LoUlBe
2	2	11	0	11	1	0	0	0	0	0	2	11-0-11-0-0-0-0-0-2	2098.64911	0.0026	05LoUlBe
3	3	11	1	11	1	0	0	0	0	0	2	11-1-11-0-0-0-0-0-2	2099.7861	0.0026	05LoUlBe
1	1	11	6	6	1	0	0	0	2	0	0	11-6-6-0-0-0-2-0-0	2108.75927	0.0026	05LoUlBe
2	2	11	6	5	1	0	0	0	2	0	0	11-6-5-0-0-0-2-0-0	2108.75927	0.0026	05LoUlBe
1	2	11	4	7	2	0	0	0	1	0	1	11-4-7-0-0-0-1-0-1	2111.97953	0.0026	05LoUlBe
2	1	11	4	8	2	0	0	0	1	0	1	11-4-8-0-0-0-1-0-1	2111.99694	0.0026	05LoUlBe
4	4	11	1	10	1	0	0	0	0	0	2	11-1-10-0-0-0-0-0-2	2113.18502	0.0026	05LoUlBe
1	1	11	2	10	1	0	0	0	0	0	2	11-2-10-0-0-0-0-0-2	2121.46416	0.0026	05LoUlBe
2	2	11	2	9	1	0	0	0	0	0	2	11-2-9-0-0-0-0-0-2	2125.44392	0.0026	05LoUlBe
3	3	11	9	3	1	0	1	0	0	0	0	11-9-3-0-1-0-0-0-0	2132.695751429	0.000756749	Marvel
4	4	11	9	2	1	0	1	0	0	0	0	11-9-2-0-1-0-0-0-0	2132.695809942	0.000760114	Marvel
3	4	11	5	6	2	0	0	0	1	0	1	11-5-6-0-0-0-1-0-1	2143.04298	0.0026	05LoUlBe
4	3	11	5	7	2	0	0	0	1	0	1	11-5-7-0-0-0-1-0-1	2143.08855	0.0026	05LoUlBe
3	3	11	3	9	1	0	0	0	0	0	2	11-3-9-0-0-0-0-0-2	2146.40257	0.0026	05LoUlBe
4	4	11	3	8	1	0	0	0	0	0	2	11-3-8-0-0-0-0-0-2	2146.74663	0.0026	05LoUlBe
3	3	11	7	5	1	0	0	0	2	0	0	11-7-5-0-0-0-2-0-0	2150.83454	0.0026	05LoUlBe
4	4	11	7	4	1	0	0	0	2	0	0	11-7-4-0-0-0-2-0-0	2150.83454	0.0026	05LoUlBe
1	3	11	1	11	3	0	0	1	1	0	0	11-1-11-0-0-1-1-0-0	2163.11264	0.0026	05LoUlBe
2	4	11	1	10	3	0	0	1	1	0	0	11-1-10-0-0-1-1-0-0	2173.87563	0.0026	05LoUlBe
1	1	11	4	8	1	0	0	0	0	0	2	11-4-8-0-0-0-0-0-2	2177.72757	0.0026	05LoUlBe
2	2	11	4	7	1	0	0	0	0	0	2	11-4-7-0-0-0-0-0-2	2177.75322	0.0026	05LoUlBe
3	1	11	2	10	3	0	0	1	1	0	0	11-2-10-0-0-1-1-0-0	2178.13545	0.0026	05LoUlBe
4	2	11	2	9	3	0	0	1	1	0	0	11-2-9-0-0-1-1-0-0	2182.65493	0.0026	05LoUlBe
2	1	11	6	6	2	0	0	0	1	0	1	11-6-6-0-0-0-1-0-1	2183.06619	0.0026	05LoUlBe
1	2	11	6	5	2	0	0	0	1	0	1	11-6-5-0-0-0-1-0-1	2183.06619	0.0026	05LoUlBe
2	2	11	0	11	1	1	0	0	0	0	0	11-0-11-1-0-0-0-0-0	2184.1048	0.0026	05LoUlBe
3	3	11	1	11	1	1	0	0	0	0	0	11-1-11-1-0-0-0-0-0	2184.64256	0.0026	05LoUlBe
1	3	11	3	9	3	0	0	1	1	0	0	11-3-9-0-0-1-1-0-0	2195.58137	0.0028	05LoUlBe
2	4	11	3	8	3	0	0	1	1	0	0	11-3-8-0-0-1-1-0-0	2196.15638	0.0028	05LoUlBe
3	2	11	0	11	4	0	0	1	0	0	1	11-0-11-0-0-1-0-0-1	2198.8754	0.0028	05LoUlBe
4	4	11	1	10	1	1	0	0	0	0	0	11-1-10-1-0-0-0-0-0	2198.93845	0.0028	05LoUlBe
1	1	11	8	4	1	0	0	0	2	0	0	11-8-4-0-0-0-2-0-0	2199.4719	0.0028	05LoUlBe
2	2	11	8	3	1	0	0	0	2	0	0	11-8-3-0-0-0-2-0-0	2199.4719	0.0028	05LoUlBe
2	3	11	1	11	4	0	0	1	0	0	1	11-1-11-0-0-1-0-0-1	2199.88024	0.0028	05LoUlBe
1	1	11	10	2	1	0	1	0	0	0	0	11-10-2-0-1-0-0-0-0	2203.503548133	0.00093409	Marvel
2	2	11	10	1	1	0	1	0	0	0	0	11-10-1-0-1-0-0-0-0	2203.503824456	0.000923385	Marvel
1	1	11	2	10	1	1	0	0	0	0	0	11-2-10-1-0-0-0-0-0	2203.67176	0.0028	05LoUlBe
2	2	11	2	9	1	1	0	0	0	0	0	11-2-9-1-0-0-0-0-0	2209.4261	0.0028	05LoUlBe
1	4	11	1	10	4	0	0	1	0	0	1	11-1-10-0-0-1-0-0-1	2213.12329	0.0028	05LoUlBe
3	3	11	5	7	1	0	0	0	0	0	2	11-5-7-0-0-0-0-0-2	2216.96652	0.0028	05LoUlBe
4	4	11	5	6	1	0	0	0	0	0	2	11-5-6-0-0-0-0-0-2	2217.01215	0.0028	05LoUlBe
4	2	11	4	7	3	0	0	1	1	0	0	11-4-7-0-0-1-1-0-0	2218.56489	0.0028	05LoUlBe
3	1	11	4	8	3	0	0	1	1	0	0	11-4-8-0-0-1-1-0-0	2219.17302	0.0028	05LoUlBe
4	1	11	2	10	4	0	0	1	0	0	1	11-2-10-0-0-1-0-0-1	2220.21487	0.0028	05LoUlBe
3	2	11	2	9	4	0	0	1	0	0	1	11-2-9-0-0-1-0-0-1	2222.74588	0.0028	05LoUlBe
4	4	11	3	8	1	1	0	0	0	0	0	11-3-8-1-0-0-0-0-0	2225.60944	0.0028	05LoUlBe
3	3	11	3	9	1	1	0	0	0	0	0	11-3-9-1-0-0-0-0-0	2225.95673	0.0028	05LoUlBe
4	3	11	7	5	2	0	0	0	1	0	1	11-7-5-0-0-0-1-0-1	2230.01263	0.0028	05LoUlBe
3	4	11	7	4	2	0	0	0	1	0	1	11-7-4-0-0-0-1-0-1	2230.01263	0.0028	05LoUlBe
2	3	11	3	9	4	0	0	1	0	0	1	11-3-9-0-0-1-0-0-1	2242.0542	0.0028	05LoUlBe
1	4	11	3	8	4	0	0	1	0	0	1	11-3-8-0-0-1-0-0-1	2242.51037	0.0028	05LoUlBe
1	1	11	4	8	1	1	0	0	0	0	0	11-4-8-1-0-0-0-0-0	2246.66727	0.0028	05LoUlBe
2	2	11	4	7	1	1	0	0	0	0	0	11-4-7-1-0-0-0-0-0	2246.69006	0.0028	05LoUlBe
1	3	11	5	7	3	0	0	1	1	0	0	11-5-7-0-0-1-1-0-0	2252.04908	0.0028	05LoUlBe
2	4	11	5	6	3	0	0	1	1	0	0	11-5-6-0-0-1-1-0-0	2252.05252	0.0028	05LoUlBe
3	3	11	9	3	1	0	0	0	2	0	0	11-9-3-0-0-0-2-0-0	2255.11327	0.0028	05LoUlBe
4	4	11	9	2	1	0	0	0	2	0	0	11-9-2-0-0-0-2-0-0	2255.11327	0.0028	05LoUlBe
1	1	11	6	6	1	0	0	0	0	0	2	11-6-6-0-0-0-0-0-2	2266.30338	0.0028	05LoUlBe
2	2	11	6	5	1	0	0	0	0	0	2	11-6-5-0-0-0-0-0-2	2266.30338	0.0028	05LoUlBe
3	2	11	4	7	4	0	0	1	0	0	1	11-4-7-0-0-1-0-0-1	2271.57977	0.0028	05LoUlBe
4	1	11	4	8	4	0	0	1	0	0	1	11-4-8-0-0-1-0-0-1	2271.59893	0.0028	05LoUlBe
3	3	11	5	7	1	1	0	0	0	0	0	11-5-7-1-0-0-0-0-0	2280.97002	0.0028	05LoUlBe
4	4	11	5	6	1	1	0	0	0	0	0	11-5-6-1-0-0-0-0-0	2280.97002	0.0028	05LoUlBe
3	3	11	11	1	1	0	1	0	0	0	0	11-11-1-0-1-0-0-0-0	2281.649071421	0.020527114	Marvel
4	4	11	11	0	1	0	1	0	0	0	0	11-11-0-0-1-0-0-0-0	2281.649144933	0.020523749	Marvel
2	1	11	8	4	2	0	0	0	1	0	1	11-8-4-0-0-0-1-0-1	2284.67321	0.0028	05LoUlBe
1	2	11	8	3	2	0	0	0	1	0	1	11-8-3-0-0-0-1-0-1	2284.67321	0.0028	05LoUlBe
3	2	11	0	11	4	0	0	0	0	1	0	11-0-11-0-0-0-0-1-0	2286.29079	0.0028	05LoUlBe
2	3	11	1	11	4	0	0	0	0	1	0	11-1-11-0-0-0-0-1-0	2286.82314	0.0028	05LoUlBe
3	1	11	6	6	3	0	0	1	1	0	0	11-6-6-0-0-1-1-0-0	2287.91894	0.0028	05LoUlBe
4	2	11	6	5	3	0	0	1	1	0	0	11-6-5-0-0-1-1-0-0	2287.91894	0.0028	05LoUlBe
1	4	11	1	10	4	0	0	0	0	1	0	11-1-10-0-0-0-0-1-0	2299.9405	0.0028	05LoUlBe
4	1	11	2	10	4	0	0	0	0	1	0	11-2-10-0-0-0-0-1-0	2305.17861	0.0028	05LoUlBe
2	3	11	5	7	4	0	0	1	0	0	1	11-5-7-0-0-1-0-0-1	2308.95223	0.0028	05LoUlBe
1	4	11	5	6	4	0	0	1	0	0	1	11-5-6-0-0-1-0-0-1	2308.95274	0.0028	05LoUlBe
3	2	11	2	9	4	0	0	0	0	1	0	11-2-9-0-0-0-0-1-0	2309.97189	0.0028	05LoUlBe
1	1	11	10	2	1	0	0	0	2	0	0	11-10-2-0-0-0-2-0-0	2317.79248	0.0028	05LoUlBe
2	2	11	10	1	1	0	0	0	2	0	0	11-10-1-0-0-0-2-0-0	2317.79248	0.0028	05LoUlBe
1	1	11	6	6	1	1	0	0	0	0	0	11-6-6-1-0-0-0-0-0	2321.81773	0.0028	05LoUlBe
2	2	11	6	5	1	1	0	0	0	0	0	11-6-5-1-0-0-0-0-0	2321.81773	0.0028	05LoUlBe
3	3	11	7	5	1	0	0	0	0	0	2	11-7-5-0-0-0-0-0-2	2322.03792	0.0028	05LoUlBe
4	4	11	7	4	1	0	0	0	0	0	2	11-7-4-0-0-0-0-0-2	2322.03792	0.0028	05LoUlBe
2	3	11	3	9	4	0	0	0	0	1	0	11-3-9-0-0-0-0-1-0	2325.08476	0.0028	05LoUlBe
1	4	11	3	8	4	0	0	0	0	1	0	11-3-8-0-0-0-0-1-0	2325.87765	0.0028	05LoUlBe
2	2	11	0	11	1	0	0	2	0	0	0	11-0-11-0-0-2-0-0-0	2327.26522	0.0028	05LoUlBe
3	3	11	1	11	1	0	0	2	0	0	0	11-1-11-0-0-2-0-0-0	2327.56945	0.0028	05LoUlBe
1	3	11	7	5	3	0	0	1	1	0	0	11-7-5-0-0-1-1-0-0	2332.01214	0.0028	05LoUlBe
2	4	11	7	4	3	0	0	1	1	0	0	11-7-4-0-0-1-1-0-0	2332.01214	0.0028	05LoUlBe
4	4	11	1	10	1	0	0	2	0	0	0	11-1-10-0-0-2-0-0-0	2341.76246	0.0028	05LoUlBe
1	1	11	2	10	1	0	0	2	0	0	0	11-2-10-0-0-2-0-0-0	2346.84179	0.0028	05LoUlBe
4	3	11	9	3	2	0	0	0	1	0	1	11-9-3-0-0-0-1-0-1	2346.92012	0.0028	05LoUlBe
3	4	11	9	2	2	0	0	0	1	0	1	11-9-2-0-0-0-1-0-1	2346.92012	0.0028	05LoUlBe
3	2	11	4	7	4	0	0	0	0	1	0	11-4-7-0-0-0-0-1-0	2351.18363	0.0028	05LoUlBe
4	1	11	4	8	4	0	0	0	0	1	0	11-4-8-0-0-0-0-1-0	2351.19861	0.0028	05LoUlBe
2	2	11	2	9	1	0	0	2	0	0	0	11-2-9-0-0-2-0-0-0	2352.32494	0.0028	05LoUlBe
4	1	11	6	6	4	0	0	1	0	0	1	11-6-6-0-0-1-0-0-1	2354.19988	0.0028	05LoUlBe
3	2	11	6	5	4	0	0	1	0	0	1	11-6-5-0-0-1-0-0-1	2354.19988	0.0028	05LoUlBe
3	3	11	3	9	1	0	0	2	0	0	0	11-3-9-0-0-2-0-0-0	2367.65855	0.0028	05LoUlBe
4	4	11	3	8	1	0	0	2	0	0	0	11-3-8-0-0-2-0-0-0	2368.43632	0.0028	05LoUlBe
3	3	11	7	5	1	1	0	0	0	0	0	11-7-5-1-0-0-0-0-0	2369.78906	0.0028	05LoUlBe
4	4	11	7	4	1	1	0	0	0	0	0	11-7-4-1-0-0-0-0-0	2369.78906	0.0028	05LoUlBe
3	1	11	8	4	3	0	0	1	1	0	0	11-8-4-0-0-1-1-0-0	2383.70476	0.0028	05LoUlBe
4	2	11	8	3	3	0	0	1	1	0	0	11-8-3-0-0-1-1-0-0	2383.70476	0.0028	05LoUlBe
1	4	11	5	6	4	0	0	0	0	1	0	11-5-6-0-0-0-0-1-0	2384.20939	0.0028	05LoUlBe
2	3	11	5	7	4	0	0	0	0	1	0	11-5-7-0-0-0-0-1-0	2384.2134	0.0028	05LoUlBe
1	1	11	8	4	1	0	0	0	0	0	2	11-8-4-0-0-0-0-0-2	2385.13398	0.0028	05LoUlBe
2	2	11	8	3	1	0	0	0	0	0	2	11-8-3-0-0-0-0-0-2	2385.13398	0.0028	05LoUlBe
3	3	11	11	1	1	0	0	0	2	0	0	11-11-1-0-0-0-2-0-0	2387.54716	0.0028	05LoUlBe
4	4	11	11	0	1	0	0	0	2	0	0	11-11-0-0-0-0-2-0-0	2387.54716	0.0028	05LoUlBe
1	1	11	4	8	1	0	0	2	0	0	0	11-4-8-0-0-2-0-0-0	2394.51151	0.0028	05LoUlBe
2	2	11	4	7	1	0	0	2	0	0	0	11-4-7-0-0-2-0-0-0	2394.54982	0.0028	05LoUlBe
2	3	11	7	5	4	0	0	1	0	0	1	11-7-5-0-0-1-0-0-1	2407.30404	0.0028	05LoUlBe
1	4	11	7	4	4	0	0	1	0	0	1	11-7-4-0-0-1-0-0-1	2407.30404	0.0028	05LoUlBe
2	1	11	10	2	2	0	0	0	1	0	1	11-10-2-0-0-0-1-0-1	2416.67748	0.0028	05LoUlBe
1	2	11	10	1	2	0	0	0	1	0	1	11-10-1-0-0-0-1-0-1	2416.67748	0.0028	05LoUlBe
4	1	11	6	6	4	0	0	0	0	1	0	11-6-6-0-0-0-0-1-0	2423.6872	0.0028	05LoUlBe
3	2	11	6	5	4	0	0	0	0	1	0	11-6-5-0-0-0-0-1-0	2423.6872	0.0028	05LoUlBe
1	1	11	8	4	1	1	0	0	0	0	0	11-8-4-1-0-0-0-0-0	2425.04396	0.0028	05LoUlBe
2	2	11	8	3	1	1	0	0	0	0	0	11-8-3-1-0-0-0-0-0	2425.04396	0.0028	05LoUlBe
3	3	11	5	7	1	0	0	2	0	0	0	11-5-7-0-0-2-0-0-0	2429.92845	0.0028	05LoUlBe
4	4	11	5	6	1	0	0	2	0	0	0	11-5-6-0-0-2-0-0-0	2429.92845	0.0028	05LoUlBe
1	3	11	9	3	3	0	0	1	1	0	0	11-9-3-0-0-1-1-0-0	2442.81983	0.0028	05LoUlBe
2	4	11	9	2	3	0	0	1	1	0	0	11-9-2-0-0-1-1-0-0	2442.81983	0.0028	05LoUlBe
3	3	11	9	3	1	0	0	0	0	0	2	11-9-3-0-0-0-0-0-2	2454.7635	0.0028	05LoUlBe
4	4	11	9	2	1	0	0	0	0	0	2	11-9-2-0-0-0-0-0-2	2454.7635	0.0028	05LoUlBe
1	1	11	6	6	1	0	0	2	0	0	0	11-6-6-0-0-2-0-0-0	2467.56904	0.0028	05LoUlBe
2	2	11	6	5	1	0	0	2	0	0	0	11-6-5-0-0-2-0-0-0	2467.56904	0.0028	05LoUlBe
4	1	11	8	4	4	0	0	1	0	0	1	11-8-4-0-0-1-0-0-1	2468.78835	0.0028	05LoUlBe
3	2	11	8	3	4	0	0	1	0	0	1	11-8-3-0-0-1-0-0-1	2468.78835	0.0028	05LoUlBe
2	3	11	7	5	4	0	0	0	0	1	0	11-7-5-0-0-0-0-1-0	2476.00281	0.0028	05LoUlBe
1	4	11	7	4	4	0	0	0	0	1	0	11-7-4-0-0-0-0-1-0	2476.00281	0.0028	05LoUlBe
3	3	11	9	3	1	1	0	0	0	0	0	11-9-3-1-0-0-0-0-0	2487.64792	0.0028	05LoUlBe
4	4	11	9	2	1	1	0	0	0	0	0	11-9-2-1-0-0-0-0-0	2487.64792	0.0028	05LoUlBe
