Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
1	3	2	1	1	3	0	0	0	1	0	0	2-1-1-0-0-0-1-0-0	947.41520429	4.4775E-05	Marvel
3	1	2	2	0	3	0	0	0	1	0	0	2-2-0-0-0-0-1-0-0	957.054349312	4.815E-05	Marvel
4	1	2	0	2	4	0	0	0	0	0	1	2-0-2-0-0-0-0-0-1	995.084419747	4.0147E-05	Marvel
1	4	2	1	2	4	0	0	0	0	0	1	2-1-2-0-0-0-0-0-1	998.984269394	4.1771E-05	Marvel
2	3	2	1	1	4	0	0	0	0	0	1	2-1-1-0-0-0-0-0-1	999.61397292	4.0106E-05	Marvel
3	2	2	2	1	4	0	0	0	0	0	1	2-2-1-0-0-0-0-0-1	1011.871901915	7.9816E-05	Marvel
4	1	2	2	0	4	0	0	0	0	0	1	2-2-0-0-0-0-0-0-1	1011.880556603	0.000103166	Marvel
1	1	2	0	2	1	0	1	0	0	0	0	2-0-2-0-1-0-0-0-0	1707.421419742	0.020010037	Marvel
4	4	2	1	2	1	0	1	0	0	0	0	2-1-2-0-1-0-0-0-0	1710.884019108	0.000428426	Marvel
3	3	2	1	1	1	0	1	0	0	0	0	2-1-1-0-1-0-0-0-0	1711.490710174	0.000408412	Marvel
2	2	2	2	1	1	0	1	0	0	0	0	2-2-1-0-1-0-0-0-0	1722.458864704	0.020008371	Marvel
1	1	2	2	0	1	0	1	0	0	0	0	2-2-0-0-1-0-0-0-0	1722.467061978	0.000406706	Marvel
1	1	2	0	2	1	0	0	0	2	0	0	2-0-2-0-0-0-2-0-0	1873.578048226	0.0004017	Marvel
4	4	2	1	2	1	0	0	0	2	0	0	2-1-2-0-0-0-2-0-0	1876.43268299	0.000400067	Marvel
3	3	2	1	1	1	0	0	0	2	0	0	2-1-1-0-0-0-2-0-0	1876.951452665	0.000406747	Marvel
2	2	2	2	1	1	0	0	0	2	0	0	2-2-1-0-0-0-2-0-0	1886.02692052	0.000408371	Marvel
1	1	2	2	0	1	0	0	0	2	0	0	2-2-0-0-0-0-2-0-0	1886.034255978	0.000406706	Marvel
3	4	2	1	2	2	0	0	0	1	0	1	2-1-2-0-0-0-1-0-1	1938.71541	0.0026	05LoUlBe
4	3	2	1	1	2	0	0	0	1	0	1	2-1-1-0-0-0-1-0-1	1939.263	0.0026	05LoUlBe
1	2	2	2	1	2	0	0	0	1	0	1	2-2-1-0-0-0-1-0-1	1948.70091	0.0026	05LoUlBe
2	1	2	2	0	2	0	0	0	1	0	1	2-2-0-0-0-0-1-0-1	1948.70914	0.0026	05LoUlBe
1	1	2	0	2	1	0	0	0	0	0	2	2-0-2-0-0-0-0-0-2	1980.14799	0.0026	05LoUlBe
4	4	2	1	2	1	0	0	0	0	0	2	2-1-2-0-0-0-0-0-2	1984.79631	0.0026	05LoUlBe
3	3	2	1	1	1	0	0	0	0	0	2	2-1-1-0-0-0-0-0-2	1985.42487	0.0026	05LoUlBe
